forum_id,message_id,user_id,angel,blushing,confused,cool,devil,grin,kiss,ohoh,sad,smile,tongue,ugly,wink
17924097,72515591,37a4045ac8054fb73af2b0ea73d21b3f,0,0,0,0,0,0,0,0,0,1,0,0,0
17924097,76611592,37a4045ac8054fb73af2b0ea73d21b3f,0,0,0,0,0,0,0,0,0,1,0,0,0
17924097,77299714,37a4045ac8054fb73af2b0ea73d21b3f,0,0,0,0,0,0,0,0,0,1,0,0,0
17924097,295010306,d62bffffd3f252f2d70ec015b4fd1c4f,0,0,0,0,0,0,0,0,0,0,0,0,1
17924097,295436316,d62bffffd3f252f2d70ec015b4fd1c4f,0,0,0,0,0,1,0,0,0,0,0,0,0
17924097,295927824,986248d46b461bd948b1a1279fa0f639,0,0,1,0,0,0,0,0,0,0,0,0,0
17924097,487620623,37a4045ac8054fb73af2b0ea73d21b3f,0,0,0,0,0,0,8,0,0,0,0,0,0
17924097,491749381,37a4045ac8054fb73af2b0ea73d21b3f,0,0,0,0,0,0,4,0,0,0,0,0,0
53379073,58818561,8b10dad500f04f65cee9cb145196765d,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,74219525,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,75137025,efcf6c5c6aa66402f6e5e50b6f3484cd,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,76611597,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,91914245,8b10dad500f04f65cee9cb145196765d,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,91914271,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,2
53379073,91914285,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,99844098,efcf6c5c6aa66402f6e5e50b6f3484cd,0,0,0,0,0,0,0,0,0,1,0,0,0
53379073,119013392,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,131891214,8b10dad500f04f65cee9cb145196765d,0,0,0,0,0,0,2,0,0,0,0,0,0
53379073,144736266,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,1,0,0,0
53379073,147226629,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,1,0,0,1
53379073,149848080,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,177176598,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,177176599,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,177274885,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,182124549,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,188514305,ae2bace100314e0c9fc6652fb66c81e4,0,0,0,0,0,0,0,0,1,0,0,0,0
53379073,188514312,ae2bace100314e0c9fc6652fb66c81e4,0,0,0,0,0,0,0,0,0,1,0,0,0
53379073,200671236,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,210108423,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
53379073,210108424,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,0,0,0,1,0,0,0
53379073,219414530,8b10dad500f04f65cee9cb145196765d,0,0,0,0,0,0,0,0,1,1,0,0,0
79233025,79265793,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,4,0,0,0,0,0,0
79233025,177274884,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
79233025,177274890,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,0,0,0,0,0,0,1
79233025,187498503,dfb600cdb956c3b8f4ac67a8ca014326,0,0,0,0,0,0,0,0,0,1,0,0,0
79233025,197984262,dfb600cdb956c3b8f4ac67a8ca014326,0,0,0,0,0,0,0,0,0,0,0,0,1
79233025,200179716,850f7a36c8f84b0c6aab5c952f4d2132,0,0,0,0,0,0,0,0,1,0,0,0,0
80510977,87916559,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
80510977,88539152,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,1
80510977,88539153,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,1,0
80510977,90636291,8b10dad500f04f65cee9cb145196765d,0,0,0,0,0,0,1,0,0,1,0,0,1
80510977,90636292,8b10dad500f04f65cee9cb145196765d,0,0,0,0,0,0,0,0,0,0,0,1,1
80510977,91914243,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,1
80510977,102203402,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,0,0,0,1,0,0,0
80510977,130383897,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,1
80510977,134578179,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
80510977,134578185,ae2bace100314e0c9fc6652fb66c81e4,0,0,0,0,0,0,0,0,0,0,0,0,1
80510977,135364618,11cd136d1631c8d66d59020da5142e19,0,0,0,0,0,0,0,0,0,0,0,0,1
80510977,136183815,ae2bace100314e0c9fc6652fb66c81e4,0,0,0,0,0,0,0,0,0,0,0,0,1
80510977,187498499,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,1,0,0,1
80510978,81002498,8b10dad500f04f65cee9cb145196765d,0,0,0,0,0,0,0,0,0,1,0,0,0
80510978,81330177,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,0,0,0,1,0,0,0
80510982,87195683,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,1,0,0,0,0,0,0
80510982,87916560,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,1,0,0,1
80510982,88539139,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,1
80510982,119013391,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
80510982,119013397,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
80510982,121536524,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,0,0,1,0,0,0,0
80510982,121536527,ae2bace100314e0c9fc6652fb66c81e4,0,0,0,0,0,0,0,0,1,0,0,0,0
80510982,165838849,efcf6c5c6aa66402f6e5e50b6f3484cd,0,0,0,0,0,0,0,0,0,0,0,0,1
80510982,167116803,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,0,1
80510982,169345041,11cd136d1631c8d66d59020da5142e19,0,0,0,0,0,0,0,1,0,0,0,1,0
80510982,171573249,efcf6c5c6aa66402f6e5e50b6f3484cd,0,0,0,0,0,0,0,0,1,0,0,0,0
80510982,189235208,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,0,0,0,0,0,0,1
80510982,189693953,efcf6c5c6aa66402f6e5e50b6f3484cd,1,0,0,0,0,0,0,0,0,0,0,0,0
115277825,115703812,5203e69266ab56f41382ae8196b0a079,0,0,0,0,0,0,0,0,0,0,0,1,0
115277825,115703815,11cd136d1631c8d66d59020da5142e19,0,0,0,0,0,0,0,0,0,0,0,1,0
115277825,121536517,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,1
115277825,121536526,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,1
115277825,134578190,11cd136d1631c8d66d59020da5142e19,0,0,0,0,0,0,0,0,0,1,0,0,0
115277825,136183823,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,1,0,0,0
115277825,136183826,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,1,0,0,0,0,0,0
115277825,150962178,53aa49403eaa7830ab10234d95089dfb,0,0,0,0,0,0,0,0,0,1,0,0,0
115277825,150962205,efcf6c5c6aa66402f6e5e50b6f3484cd,0,0,0,0,0,0,0,1,0,0,0,0,0
115277825,151978001,bf9b139f7e0153650c43c9f2cb27abd7,0,0,0,0,0,0,0,0,0,0,0,0,1
115277825,153944072,2c2be155a1c073ca2981acfca3001f35,0,0,0,0,0,0,0,0,0,0,0,0,1
115277825,160006189,11cd136d1631c8d66d59020da5142e19,0,0,0,0,0,0,0,0,0,0,0,0,1
